Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
539	880	31	1	04/27/26 09:23:55 AM	
540	880	31	1	04/27/26 09:23:56 AM	
541	880	33	1	04/27/26 09:23:57 AM	
542	880	28	1	04/27/26 09:23:58 AM	
543	880	27	1	04/27/26 09:24:00 AM	
544	880	37	1	04/27/26 09:24:01 AM	
545	880	34	1	04/27/26 09:24:02 AM	
546	880	36	1	04/27/26 09:24:03 AM	
547	880	39	1	04/27/26 09:24:04 AM	
548	880	28	1	04/27/26 09:24:06 AM	
549	880	42	1	04/27/26 09:24:07 AM	
550	880	28	1	04/27/26 09:24:08 AM	
551	880	36	1	04/27/26 09:24:09 AM	
552	880	35	1	04/27/26 09:24:10 AM	
553	880	33	1	04/27/26 09:24:11 AM	
554	880	39	1	04/27/26 09:24:13 AM	
555	880	32	1	04/27/26 09:24:14 AM	
556	880	41	1	04/27/26 09:24:15 AM	
557	880	46	1	04/27/26 09:24:16 AM	
558	880	35	1	04/27/26 09:24:17 AM	
559	880	41	1	04/27/26 09:24:18 AM	
560	880	29	1	04/27/26 09:24:20 AM	
